indicator_id,region,metric_kind,scope,key,old_value,old_at,new_value,new_at,abs_diff,rel_diff_pct
ember-co2-intensity-de,de,co2-intensity,calendar_year_mean,2021,405.7958,n=12,405.7529,n=12,0.0429,0.011
ember-co2-intensity-de,de,co2-intensity,calendar_year_mean,2022,434.1042,n=12,434.0702,n=12,0.0339,0.008
ember-co2-intensity-de,de,co2-intensity,calendar_year_mean,2023,384.0067,n=12,384.0916,n=12,0.0849,0.022
ember-co2-intensity-de,de,co2-intensity,calendar_year_mean,2024,347.5983,n=12,347.6313,n=12,0.033,0.009
ember-co2-intensity-de,de,co2-intensity,calendar_year_mean,2025,339.2767,n=12,339.2808,n=12,0.0041,0.001
ember-co2-intensity-de,de,co2-intensity,period_min,all,242.85,2025-06,243.008,2025-06,0.158,0.065
ember-co2-intensity-de,de,co2-intensity,period_max,all,605.62,2015-10,605.604,2015-10,0.016,0.003
ember-co2-intensity-gb,gb,co2-intensity,latest_common_month,2026-06,208.13,,217.466,,9.336,4.486
ember-co2-intensity-gb,gb,co2-intensity,calendar_year_mean,2015,428.0117,n=12,426.0484,n=12,1.9633,0.459
ember-co2-intensity-gb,gb,co2-intensity,calendar_year_mean,2016,342.4325,n=12,345.2547,n=12,2.8222,0.824
ember-co2-intensity-gb,gb,co2-intensity,calendar_year_mean,2017,303.4408,n=12,307.8348,n=12,4.394,1.448
ember-co2-intensity-gb,gb,co2-intensity,calendar_year_mean,2018,287.4792,n=12,293.6693,n=12,6.1902,2.153
ember-co2-intensity-gb,gb,co2-intensity,calendar_year_mean,2019,262.9617,n=12,273.576,n=12,10.6143,4.036
ember-co2-intensity-gb,gb,co2-intensity,calendar_year_mean,2020,234.5992,n=12,248.9297,n=12,14.3305,6.109
ember-co2-intensity-gb,gb,co2-intensity,calendar_year_mean,2021,266.0358,n=12,271.9587,n=12,5.9228,2.226
ember-co2-intensity-gb,gb,co2-intensity,calendar_year_mean,2022,252.5208,n=12,257.3392,n=12,4.8184,1.908
ember-co2-intensity-gb,gb,co2-intensity,calendar_year_mean,2023,226.975,n=12,235.3723,n=12,8.3973,3.7
ember-co2-intensity-gb,gb,co2-intensity,calendar_year_mean,2024,200.9833,n=12,211.0517,n=12,10.0683,5.01
ember-co2-intensity-gb,gb,co2-intensity,calendar_year_mean,2025,202.8233,n=12,213.7594,n=12,10.9361,5.392
ember-co2-intensity-gb,gb,co2-intensity,period_min,all,145.51,2026-04,156.096,2026-04,10.586,7.275
ember-co2-intensity-gb,gb,co2-intensity,period_max,all,507.95,2015-02,495.12,2015-02,12.83,2.526
ember-co2-intensity-jp,jp,co2-intensity,latest_common_month,2026-06,,,407.221,,,
ember-co2-intensity-jp,jp,co2-intensity,calendar_year_mean,2018,510.2656,n=9,510.1816,n=9,0.084,0.016
ember-co2-intensity-jp,jp,co2-intensity,calendar_year_mean,2019,506.6592,n=12,506.6451,n=12,0.0141,0.003
ember-co2-intensity-jp,jp,co2-intensity,calendar_year_mean,2020,507.1392,n=12,507.0604,n=12,0.0787,0.016
ember-co2-intensity-jp,jp,co2-intensity,calendar_year_mean,2021,491.1358,n=12,491.1327,n=12,0.0032,0.001
ember-co2-intensity-jp,jp,co2-intensity,calendar_year_mean,2022,496.3475,n=12,496.3293,n=12,0.0182,0.004
ember-co2-intensity-jp,jp,co2-intensity,calendar_year_mean,2023,464.8458,n=12,464.8677,n=12,0.0218,0.005
ember-co2-intensity-jp,jp,co2-intensity,calendar_year_mean,2024,454.2017,n=12,454.1381,n=12,0.0636,0.014
ember-co2-intensity-jp,jp,co2-intensity,calendar_year_mean,2025,447.555,n=12,447.531,n=12,0.024,0.005
ember-co2-intensity-jp,jp,co2-intensity,period_min,all,369.8,2025-05,369.815,2025-05,0.015,0.004
ember-co2-intensity-jp,jp,co2-intensity,period_max,all,562.88,2021-01,562.988,2021-01,0.108,0.019
ember-co2-intensity-us,us,co2-intensity,latest_common_month,2026-06,356.87,,361.753,,4.883,1.368
ember-co2-intensity-us,us,co2-intensity,calendar_year_mean,2015,503.0708,n=12,503.079,n=12,0.0082,0.002
ember-co2-intensity-us,us,co2-intensity,calendar_year_mean,2016,480.0342,n=12,480.0358,n=12,0.0016,0.0
ember-co2-intensity-us,us,co2-intensity,calendar_year_mean,2017,467.1525,n=12,467.1477,n=12,0.0048,0.001
ember-co2-intensity-us,us,co2-intensity,calendar_year_mean,2018,460.7408,n=12,460.7434,n=12,0.0026,0.001
ember-co2-intensity-us,us,co2-intensity,calendar_year_mean,2019,437.765,n=12,437.7573,n=12,0.0077,0.002
ember-co2-intensity-us,us,co2-intensity,calendar_year_mean,2020,408.87,n=12,408.8656,n=12,0.0044,0.001
ember-co2-intensity-us,us,co2-intensity,calendar_year_mean,2021,421.0192,n=12,421.0197,n=12,0.0005,0.0
ember-co2-intensity-us,us,co2-intensity,calendar_year_mean,2022,408.225,n=12,408.2157,n=12,0.0093,0.002
ember-co2-intensity-us,us,co2-intensity,calendar_year_mean,2023,390.3175,n=12,390.3201,n=12,0.0026,0.001
ember-co2-intensity-us,us,co2-intensity,calendar_year_mean,2024,381.135,n=12,381.1309,n=12,0.0041,0.001
ember-co2-intensity-us,us,co2-intensity,calendar_year_mean,2025,382.1817,n=12,382.1808,n=12,0.0008,0.0
ember-co2-intensity-us,us,co2-intensity,period_min,all,323.56,2026-04,323.533,2026-04,0.027,0.008
ember-co2-intensity-us,us,co2-intensity,period_max,all,623.5,2001-01,623.483,2001-01,0.017,0.003
ember-demand-cn,cn,demand,latest_common_month,2026-06,,,905.839,,,
ember-demand-cn,cn,demand,calendar_year_mean,2015,467.1008,n=12,467.1008,n=12,0.0,0.0
ember-demand-cn,cn,demand,calendar_year_mean,2016,496.5333,n=12,496.5322,n=12,0.0011,0.0
ember-demand-cn,cn,demand,calendar_year_mean,2017,530.1958,n=12,530.1953,n=12,0.0006,0.0
ember-demand-cn,cn,demand,calendar_year_mean,2018,580.7717,n=12,580.7539,n=12,0.0177,0.003
ember-demand-cn,cn,demand,calendar_year_mean,2019,609.675,n=12,609.6165,n=12,0.0585,0.01
ember-demand-cn,cn,demand,calendar_year_mean,2020,633.6217,n=12,633.6724,n=12,0.0507,0.008
ember-demand-cn,cn,demand,calendar_year_mean,2021,696.0583,n=12,696.4146,n=12,0.3562,0.051
ember-demand-cn,cn,demand,calendar_year_mean,2022,722.9458,n=12,722.9399,n=12,0.0059,0.001
ember-demand-cn,cn,demand,calendar_year_mean,2023,773.7675,n=12,773.7676,n=12,0.0001,0.0
ember-demand-cn,cn,demand,calendar_year_mean,2024,823.6175,n=12,824.4868,n=12,0.8693,0.106
ember-demand-cn,cn,demand,calendar_year_mean,2025,864.315,n=12,864.0947,n=12,0.2203,0.025
ember-demand-cn,cn,demand,period_min,all,431.21,2015-02,397.24,2016-02,33.97,7.878
ember-demand-cn,cn,demand,period_max,all,1012.7,2025-08,1038.454,2026-07,25.754,2.543
ember-demand-de,de,demand,latest_common_month,2026-06,40.2,,40.19,,0.01,0.025
ember-demand-de,de,demand,calendar_year_mean,2015,45.9958,n=12,45.9958,n=12,0.0,0.0
ember-demand-de,de,demand,calendar_year_mean,2016,45.7833,n=12,45.7833,n=12,0.0,0.0
ember-demand-de,de,demand,calendar_year_mean,2017,45.86,n=12,45.86,n=12,0.0,0.0
ember-demand-de,de,demand,calendar_year_mean,2018,45.4225,n=12,45.4225,n=12,0.0,0.0
ember-demand-de,de,demand,calendar_year_mean,2019,44.6008,n=12,44.6008,n=12,0.0,0.0
