KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
EXR.M.JPY.EUR.SP00.A,M,JPY,EUR,SP00,A,2003-09,128.9440909090909,A,F,,,P1M,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.M.JPY.EUR.SP00.A,M,JPY,EUR,SP00,A,2003-10,128.1182608695652,A,F,,,P1M,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.M.JPY.EUR.SP00.A,M,JPY,EUR,SP00,A,2003-11,127.839,A,F,,,P1M,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.M.JPY.EUR.SP00.A,M,JPY,EUR,SP00,A,2003-12,132.4314285714285,A,F,,,P1M,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.M.JPY.EUR.SP00.A,M,JPY,EUR,SP00,A,2004-01,134.1309523809524,A,F,,,P1M,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.M.JPY.EUR.SP00.A,M,JPY,EUR,SP00,A,2004-02,134.779,A,F,,,P1M,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.M.JPY.EUR.SP00.A,M,JPY,EUR,SP00,A,2004-03,133.1252173913043,A,F,,,P1M,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.M.JPY.EUR.SP00.A,M,JPY,EUR,SP00,A,2004-04,129.078,A,F,,,P1M,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.M.JPY.EUR.SP00.A,M,JPY,EUR,SP00,A,2004-05,134.482380952381,A,F,,,P1M,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.M.JPY.EUR.SP00.A,M,JPY,EUR,SP00,A,2004-06,132.8609090909091,A,F,,,P1M,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.M.JPY.EUR.SP00.A,M,JPY,EUR,SP00,A,2004-07,134.0822727272727,A,F,,,P1M,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.M.JPY.EUR.SP00.A,M,JPY,EUR,SP00,A,2004-08,134.5386363636364,A,F,,,P1M,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.M.JPY.EUR.SP00.A,M,JPY,EUR,SP00,A,2004-09,134.5054545454546,A,F,,,P1M,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.M.JPY.EUR.SP00.A,M,JPY,EUR,SP00,A,2004-10,135.9709523809524,A,F,,,P1M,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.M.JPY.EUR.SP00.A,M,JPY,EUR,SP00,A,2004-11,136.0872727272727,A,F,,,P1M,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.M.JPY.EUR.SP00.A,M,JPY,EUR,SP00,A,2004-12,139.14,A,F,,,P1M,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.M.JPY.EUR.SP00.A,M,JPY,EUR,SP00,A,2005-01,135.6333333333333,A,F,,,P1M,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.M.JPY.EUR.SP00.A,M,JPY,EUR,SP00,A,2005-02,136.5495,A,F,,,P1M,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.M.JPY.EUR.SP00.A,M,JPY,EUR,SP00,A,2005-03,138.8328571428571,A,F,,,P1M,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.M.JPY.EUR.SP00.A,M,JPY,EUR,SP00,A,2005-04,138.8361904761904,A,F,,,P1M,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.M.JPY.EUR.SP00.A,M,JPY,EUR,SP00,A,2005-05,135.3731818181818,A,F,,,P1M,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.M.JPY.EUR.SP00.A,M,JPY,EUR,SP00,A,2005-06,132.2159090909091,A,F,,,P1M,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.M.JPY.EUR.SP00.A,M,JPY,EUR,SP00,A,2005-07,134.7471428571428,A,F,,,P1M,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.M.JPY.EUR.SP00.A,M,JPY,EUR,SP00,A,2005-08,135.9847826086956,A,F,,,P1M,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.M.JPY.EUR.SP00.A,M,JPY,EUR,SP00,A,2005-09,136.0631818181818,A,F,,,P1M,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.M.JPY.EUR.SP00.A,M,JPY,EUR,SP00,A,2005-10,138.0519047619048,A,F,,,P1M,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.M.JPY.EUR.SP00.A,M,JPY,EUR,SP00,A,2005-11,139.5913636363637,A,F,,,P1M,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.M.JPY.EUR.SP00.A,M,JPY,EUR,SP00,A,2005-12,140.5766666666667,A,F,,,P1M,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
EXR.M.JPY.EUR.SP00.A,M,JPY,EUR,SP00,A,2006-01,139.815,A,F,,,P1M,,A,,,,,,,99Q1=100,,,2,,4F0,,Japanese yen/Euro ECB reference exchange rate,"ECB reference exchange rate, Japanese yen/Euro, 2.15 pm (C.E.T.)",JPY,0
